Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,153,24,P:System.Drawing.Graphics.InterpolationMode,,,,,g.InterpolationMode = System.Drawing.Drawing2D.InterpolationMode.HighQualityBicubic;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,152,24,T:System.Drawing.Drawing2D.SmoothingMode,,,,,g.SmoothingMode = System.Drawing.Drawing2D.SmoothingMode.HighQuality;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,152,24,T:System.Drawing.Drawing2D.SmoothingMode,,,,,g.SmoothingMode = System.Drawing.Drawing2D.SmoothingMode.HighQuality;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,152,24,F:System.Drawing.Drawing2D.SmoothingMode.HighQuality,,,,,g.SmoothingMode = System.Drawing.Drawing2D.SmoothingMode.HighQuality;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,152,24,T:System.Drawing.Drawing2D.SmoothingMode,,,,,g.SmoothingMode = System.Drawing.Drawing2D.SmoothingMode.HighQuality;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,152,24,P:System.Drawing.Graphics.SmoothingMode,,,,,g.SmoothingMode = System.Drawing.Drawing2D.SmoothingMode.HighQuality;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,151,24,"M:System.Drawing.Graphics.FillRectangle(System.Drawing.Brush,System.Drawing.Rectangle)",,,,,"g.FillRectangle(fill, bounds);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,146,28,T:System.Windows.Forms.Screen,,,,,bounds = Screen.AllScreens[i].Bounds;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,146,28,P:System.Windows.Forms.Screen.AllScreens,,,,,bounds = Screen.AllScreens[i].Bounds;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,146,28,P:System.Windows.Forms.Screen.Bounds,,,,,bounds = Screen.AllScreens[i].Bounds;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,144,28,T:System.Windows.Forms.Screen,,,,,i = Screen.AllScreens.Length;
